code,name
6628,"MERRYVILLE INVESTMENTS LTD, INC. DBA BEST PAGE"
470H,"RCLEC, INC. - GA"
205B,"SOUTHERN DIGITAL NETWORK, INC. DBA FDN COMMS - GA"
7490,"LEVEL 3 TELECOM OF GEORGIA, LP - GA"
814C,"INTRADO COMMUNICATIONS, LLC"
0172,BROADRIVER COMMUNICATION CORPORATION
8355,"US LEC OF GEORGIA, INC."
8392,"TELEPORT COMMUNICATIONS AMERICA, LLC - GA"
9107,"DIGITAL AGENT, LLC - GA"
052G,"CORETEL GEORGIA, INC. - GA"
909E,"PEERLESS NETWORK OF GEORGIA, LLC - GA"
321E,YMAX COMMUNICATIONS CORP. - GA
2911,NETWORK TELEPHONE CORPORATION - GA
8758,"XO GEORGIA, INC."
056H,LOCAL ACCESS LLC - GA
6428,"PAGER ONE OF FLORIDA, INC. - GEORGIA"
609E,"CLECTIVE GA, INCORPORATED - GA"
8765,"GLOBAL CROSSING LOCAL SERVICES, INC.-GA"
844G,"O1 COMMUNICATIONS EAST, LLC - GA"
4361,"FUSION CLOUD SERVICES, LLC"
6589,"ADBEEP, LLC"
6678,INFO PAGE
362B,"DOVETEL COMMUNICATIONS, LLC - GA"
205D,"ETC COMMUNICATIONS, LLC - GA"
8900,"HARGRAY OF GEORGIA, INC. - GA"
947H,"AIRUS, INC. - GA"
4332,WINDSTREAM GEORGIA COMMUNICATIONS CORP.
529H,"WIDE VOICE, LLC - GA"
0375,NELSON - BALL GROUND TELEPHONE CO.
518J,ASSURANCE TELECOM LLC
329H,GETGO COMMUNICATIONS LLC - GA
187J,NOBLE SYSTEMS COMMUNICATIONS LLC
7797,BUSINESS TELECOM INC. - GA
4636,"TELCOVE OPERATIONS, INC. - GA"
4893,TALK AMERICA INC. - GA
0155,"MATRIX TELECOM, INC DBA TRINSIC COMMUNICATIONS-GA"
856A,"WINDSTREAM COMMUNICATIONS, INC. - GA"
8390,KNOLOGY OF GA DBA WOW INTERNET CABLE PHONE - GA
0362,"FRONTIER COMMUNICATIONS OF FAIRMOUNT, LLC"
0386,"WINDSTREAM STANDARD, INC."
0357,"WINDSTREAM GEORGIA, INC."
6606,"PAGE EXPRESS, INC."
6792,"SATELLINK PAGING, INC."
6706,POINT TO POINT COMMUNICATIONS - GA
6929,"TRANSIT COMMUNICATIONS USA, L.P."
6616,THE GREAT AMERICAN ENTERPRISE DBA MPW PAGING
0299,"HAYNEVILLE TELEPHONE CO., INC."
0308,NEW HOPE TELEPHONE COOPERATIVE
0301,"FRONTIER COMMUNICATIONS OF LAMAR COUNTY, LLC"
0305,"MON - CRE TELEPHONE COOPERATIVE, INC."
2741,"BELLSOUTH TELECOMMUNICATIONS, INC."
4724,"DIXIE-NET COMMUNICATIONS, LLC"
5278,"TELEPAK NETWORKS, INC. - MS"
6396,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - MS
4664,CENTURYTEL ACQ LLC DBA CENTURYLINK ACQUISITION MS
5178,"LEVEL 3 COMMUNICATIONS, LLC - MS"
4619,"DELTACOM, INC. - MS"
3704,"TEC OF JACKSON, INC."
992E,"BANDWIDTH.COM CLEC, LLC - MS"
459H,"AIRUS, INC. - MS"
0307,MOUNDVILLE TELEPHONE CO.
0312,OTELCO TELEPHONE LLC
6771,PORTA-PHONE DIV OF JOHN H. PHIPPS DBA AM MESG SVC
901G,"PUBLIC SERVICE WIRELESS SERVICES, INC."
718F,"MCC TELEPHONY OF GEORGIA, LLC - GA"
0316,"RAGLAND TELEPHONE CO., INC."
058J,IDT AMERICA CORP. - AL
0317,"ROANOKE TELEPHONE CO., INC."
0300,HOPPER TELECOMMUNICATIONS LLC
6862,VALUE PAGE INC
704C,"CHARTER FIBERLINK - TENNESSEE, LLC - TN"
2966,"GLOBAL CROSSING LOCAL SERVICES, INC.-TN"
390J,ANTIGUA PUBLIC UTILITIES AUTHORITY CLEC
8902,CABLE & WIRELESS - ANTIGUA
395A,DIGICEL (ST LUCIA) LIMITED
391J,ANTIGUA PUBLIC UTILITIES AUTHORITY WIRELESS
1712,MOUNTAIN VIEW TELEPHONE CO.
6534,"NEW CINGULAR WIRELESS PCS, LLC - IL"
6805,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AR
6529,"T-MOBILE USA, INC."
348F,"ONVOY, LLC  AR"
1142,CENTURYTEL NW AR-RUSSELVL DBA CENTURYLINK-RUSSELLV
1691,"WINDSTREAM ARKANSAS, INC."
1144,"CENTURYTEL CENTRAL ARKANSAS, LLC DBA CENTURYLINK"
095A,"E. RITTER COMMS DBA RITTER COMMUNICATIONS, INC. AR"
1726,"TRI - COUNTY TELEPHONE CO., INC."
9533,SOUTHWESTERN BELL
6591,"TELETOUCH COMMUNICATIONS, INC."
7656,"WINDSTREAM COMMUNICATIONS, INC. - AR"
5179,"LEVEL 3 COMMUNICATIONS, LLC - AR"
7277,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - AR
802C,"TELEPORT COMMUNICATIONS AMERICA, LLC - AR"
196F,"BANDWIDTH.COM CLEC, LLC - AR"
1706,"CENTURYTEL OF ARKANSAS, INC. DBA CENTURYLINK"
048G,"TCA COMMUNICATIONS, LLC DBA SUDDENLINK COMM - AR"
5018,"VANTAGE TELECOM, LLC, DBA NEWROADS TELECOM-AR"
1709,"MADISON COUNTY TELEPHONE CO., INC."
1702,"SOUTH ARKANSAS TELEPHONE CO., INC."
1143,CENTURYTEL NW AR DBA CENTURYLINK - SILOAM SPRINGS
1734,"ARKWEST COMMUNICATIONS, INC."
8870,SOUTHWESTERN BELL TELEPHONE CO.- AR
1697,"CENTRAL ARKANSAS TELEPHONE COOPERATIVE, INC."
1710,MAGAZINE TELEPHONE CO.
1729,WALNUT HILL TELEPHONE CO.
7264,"LEVEL 3 TELECOM OF ARKANSAS, LLC - AR"
2790,"WINDSTREAM NUVOX ARKANSAS, LLC"
8372,CONNECT COMMUNICATIONS CORP DBA CONNECT TOTAL
578H,"AIRUS, INC. - AR"
349E,YMAX COMMUNICATIONS CORP. - AR
1713,NORTHERN ARKANSAS TELEPHONE CO.
398H,"YELCOT VIDEO GROUP, INC. - AR"
956B,"BIG RIVER TELEPHONE COMPANY, LLC - AR"
1692,"ARKANSAS TELEPHONE CO., INC."
1699,DECATUR TELEPHONE CO.
1727,"CENTURYTEL OF SOUTH ARKANSAS, INC. DBA CENTURYLINK"
1722,EAST RITTER TELEPHONE CO.
1724,"SOUTHWEST ARKANSAS TELEPHONE COOPERATIVE, INC."
1718,PRAIRIE GROVE TELEPHONE CO.
1721,RICE BELT TELEPHONE CO.
409F,"ONVOY, LLC - OK"
015J,"COMCAST PHONE OF OKLAHOMA, LLC - OK"
467J,"E. RITTER COMMUNICATIONS, INC. - TX"
1163,"VALOR TELECOMM TX, LP-TX #1 DBA WINDSTREAM COMM SW"
095J,RED RIVER CELLULAR TELEPHONE CORPORATION - AR
6506,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - TX
1711,"CENTURYTEL OF MOUNTAIN HOME, INC. DBA CENTURYLINK"
1733,YELCOT TELEPHONE CO.
5257,"LEVEL 3 COMMUNICATIONS, LLC - OK"
1698,"CLEVELAND COUNTY TELEPHONE CO., INC."
3031,SCOTT COUNTY TELEPHONE CO.
502D,"COMCAST PHONE OF ARKANSAS, LLC - AR"
1704,LAVACA TELEPHONE CO.
9787,CENTURYTEL MISSOURI LLC (SOUTHWEST)DBA CENTURYLINK
6275,UNITED STATES CELLULAR CORP. - MISSOURI
142C,"RYSTEC, INC"
1533,"LEVEL 3 TELECOM OF MISSISSIPPI, LLC - MS"
2749,"XO MISSISSIPPI, INC."
3099,US LEC OF TENNESSEE INC. - MS
7344,"XO TENNESSEE, INC."
276F,"PEERLESS NETWORK OF TENNESSEE, LLC - TN"
7474,"POWERTEL MEMPHIS LICENSES, INC."
6752,"CRYSTAL COMMUNICATIONS DBA MULTIPAGE, INC."
7517,"LEVEL 3 TELECOM OF TENNESSEE, LLC - TN"
114F,"TELEPORT COMMUNICATIONS AMERICA, LLC - TN"
950H,"AIRUS, INC. - TN"
337J,WEST KENTUCKY & TENNESSEE TELECOMMUNICATIONS CO-OP
204G,"TWIN LAKES COMMUNICATIONS, INC. - TN"
948G,"TELEPAK NETWORKS, INC. - TN"
845C,"INTRADO COMMUNICATIONS, LLC"
2432,"LEVEL 3 TELECOM OF TENNESSEE, LLC"
3290,"FUSION CLOUD SERVICES, LLC"
4622,"DELTACOM, INC. - TN"
6868,"ONE CALL, LLC"
3633,NETWORK TELEPHONE CORPORATION - TN
156J,RCLEC INC
0434,"CENTURYLINK OF LOUISIANA, LLC"
1762,"CP-TEL NETWORK SERVICES, INC. - LA"
6842,CELLPAGE OF MINDEN
6505,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - LA
653C,TELEPORT COMMUNICATIONS AMERICA LA - LLC
3232,"LEVEL 3 COMMUNICATIONS, LLC - LA"
749E,"ONVOY, LLC - LA"
1720,"CENTURYTEL OF REDFIELD, INC. DBA CENTURYLINK"
1885,"WINDSTREAM MISSOURI, INC."
1866,OZARK TELEPHONE CO.
1886,GOODMAN TELEPHONE CO.
1945,SENECA TELEPHONE CO.
240H,"AIRECAST, LLC - AR"
6572,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AZ
3334,"TABLE TOP TELEPHONE CO., INC."
3285,"LEVEL 3 COMMUNICATIONS, LLC - AZ"
9636,QWEST CORPORATION
630E,"ONVOY, LLC - AZ"
7175,ELECTRIC LIGHTWAVE LLC DBA ALLSTREAM
7217,"TELEPORT COMMUNICATIONS AMERICA, LLC - AZ"
4426,CITIZENS TELECOM CO OF WHITE MOUNTAINS INC.
4146,SMITH BAGLEY INC. DBA CELLULAR ONE OF NE ARIZONA
2200,"FORT MOJAVE TELECOM, INC."
227H,MERCURY VOICE AND DATA LLC DBA SUDDENLINK COMM-AZ
371D,"AZTECH COMMUNICATIONS, INC - AZ"
2172,CITIZENS UTILITIES RURAL DBA FRONTIER UT RURAL
587F,"BANDWIDTH.COM CLEC, LLC - AZ"
579F,"PEERLESS NETWORK OF ARIZONA, LLC - AZ"
7078,"COX ARIZONA TELCOM, INC. - AZ"
8293,NORTH COUNTY COMMUNICATIONS CORP.
3333,"COPPER VALLEY TELEPHONE, INC."
7552,"LEVEL 3 TELECOM OF ARIZONA, LLC - AZ"
4449,NAVAJO COMM CO INC - AZ DBA FRONTIER NAVAJO COM
2179,"GILA RIVER TELECOMM, INC."
2171,ARIZONA TELEPHONE CO.
2176,"VALLEY TELEPHONE COOPERATIVE, INC."
4419,FRONTIER COMMUNICATIONS OF THE SOUTHWEST INC - AZ
4360,"GLOBAL CROSSING LOCAL SERVICES, INC.-AZ"
