regionnum,regionname,exact_match
454,"Tenants Harbor, ME (TCD)",
455,"Blue Hill, ME (TCD)",
456,"Sabattus, ME (TCD)",
457,"Winthrop, ME (TCD)",
458,"Exeter, ME (TCD)",
459,"Bethel, ME (TCD)",
460,"Freedom, ME (TCD)",
461,"South Berwick, ME (TCD)",
462,"Sumner, ME (TCD)",
463,"Andover, ME (TCD)",
464,"Norway, ME (TCD)",
465,"Alton, ME (TCD)",
466,"Rome, ME (TCD)",
467,"St Francis, ME (TCD)",
468,"Skowhegan, ME (TCD)",
469,"East Millinocket, ME (TCD)",
470,"Pittsfield, ME (TCD)",
471,"Freeport, ME (TCD)",
472,"Sullivan, ME (TCD)",
473,"Madison, ME (TCD)",
474,"Mars Hill, ME (TCD)",
475,"Clinton, ME (TCD)",
476,"Woodland, ME (TCD)",
477,"West Gray, ME (TCD)",
478,"Jonesboro, ME (TCD)",
479,"Ashland, ME (TCD)",
480,"Albion, ME (TCD)",
481,"Kittery, ME (TCD)",
482,"Eagle Lake, ME (TCD)",
483,"South China, ME (TCD)",
484,"Danforth, ME (TCD)",
485,"Denmark, ME (TCD)",
486,"Washburn, ME (TCD)",
487,"Wytopitlock, ME (TCD)",
488,"Lebanon, ME (TCD)",
489,"Island Falls, ME (TCD)",
490,"Westbrook, ME (TCD)",
491,"Oakland, ME (TCD)",
492,"Kennebunk, ME (TCD)",
493,"Bucksport, ME (TCD)",
494,"Fort Fairfield, ME (TCD)",
495,"Acton, ME (TCD)",
496,"Columbia, ME (TCD)",
497,"Van Buren, ME (TCD)",
498,"Wilsons Mills, ME (TCD)",
499,"Easton, ME (TCD)",
500,"Cumberland, ME (TCD)",
501,"Caribou, ME (TCD)",
502,"Jonesport, ME (TCD)",
503,"Goodwins Mills, ME (TCD)",
504,"Berwick, ME (TCD)",
505,"Limerick, ME (TCD)",
506,"Wilton, ME (TCD)",
507,"Leeds, ME (TCD)",
508,"Monroe, ME (TCD)",
509,"Swans Island, ME (TCD)",
510,"North Norway, ME (TCD)",
511,"Patten, ME (TCD)",
512,"Bremen, ME (TCD)",
513,"Upton, ME (TCD)",
514,"Rockwood, ME (TCD)",
515,"Otis, ME (TCD)",
516,"Frenchville, ME (TCD)",
517,"Roxbury Pond, ME (TCD)",
518,"Milbridge, ME (TCD)",
519,"Sidney, ME (TCD)",
520,"Searsport, ME (TCD)",
521,"North Whitefield, ME (TCD)",
522,"Dixfield, ME (TCD)",
523,"Damariscotta, ME (TCD)",
524,"Dover-Foxcroft, ME (TCD)",
525,"Franklin, ME (TCD)",
526,"Embden Lake, ME (TCD)",
527,"Stockton Springs, ME (TCD)",
528,"Thorndike, ME (TCD)",
529,"Orono, ME (TCD)",
530,"Aurora, ME (TCD)",
531,"Weld, ME (TCD)",
532,"Sheepscot, ME (TCD)",
533,"Mercer, ME (TCD)",
534,"Liberty, ME (TCD)",
535,"Canton, ME (TCD)",
536,"Hermon, ME (TCD)",
537,"Cornish, ME (TCD)",
538,"Casco, ME (TCD)",
539,"North New Portland, ME (TCD)",
540,"Norridgewock, ME (TCD)",
541,"North Anson, ME (TCD)",
